id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price,zip
62519,37.74183,-122.42993,Apartment,Private room,1,1,2,$85.00 ,94110
62651,37.76245,-122.42432,House,Entire home/apt,2.5,3,3,$950.00 ,94114
63247,37.74926,-122.41398,Guest suite,Entire home/apt,1,1,2,$166.00 ,94110
64165,37.80317,-122.42874,Apartment,Private room,2,1,30,$90.00 ,94123
66119,37.77798,-122.47812,Apartment,Entire home/apt,1,0,30,$95.00 ,94118
66188,37.77719,-122.50906,Apartment,Entire home/apt,2,3,30,$216.00 ,94122
66664,37.7571,-122.46594,Apartment,Entire home/apt,1,1,30,$90.00 ,94122
68239,37.75426,-122.42387,Apartment,Entire home/apt,1,1,30,$326.00 ,94110
69410,37.77442,-122.46319,House,Entire home/apt,1,2,30,$80.00 ,94118
69549,37.73027,-122.42644,House,Private room,1,1,30,$46.00 ,94112
69553,37.73128,-122.42478,House,Private room,1,1,30,$37.00 ,94134
69681,37.77707,-122.50923,Apartment,Entire home/apt,2,3,30,$185.00 ,94122
70139,37.74527,-122.42424,Apartment,Entire home/apt,1,1,30,$108.00 ,94110
70284,37.79364,-122.40635,House,Shared room,2.5,1,30,$30.00 ,94108
70753,37.79447,-122.4045,Hostel,Shared room,3,1,1,$45.00 ,94104
71645,37.74578,-122.40841,Guest suite,Private room,1,1,3,$109.00 ,94110
71779,37.77625,-122.46466,Apartment,Entire home/apt,1,1,30,$80.00 ,94118
72365,37.77518,-122.43334,Apartment,Entire home/apt,1,0,30,$90.00 ,94117
72444,37.79309,-122.40443,Hostel,Shared room,1,1,1,$45.00 ,94104
72921,37.77588,-122.43143,Apartment,Entire home/apt,1,1,30,$105.00 ,94117
73011,37.77026,-122.41855,Apartment,Entire home/apt,1,1,30,$270.00 ,94102
74451,37.77388,-122.43298,Apartment,Entire home/apt,1,0,30,$100.00 ,94117
74758,37.73137,-122.42532,House,Private room,1,1,30,$37.00 ,94112
75422,37.73128,-122.42473,House,Private room,1,1,30,$40.00 ,94134
75423,37.73048,-122.42494,House,Private room,1,1,30,$45.00 ,94134
77175,37.73838,-122.43375,House,Entire home/apt,1,1,3,$135.00 ,94131
77932,37.73134,-122.42457,House,Private room,1,1,30,$57.00 ,94134
78651,37.75615,-122.41927,Apartment,Private room,2,1,30,$75.00 ,94110
80394,37.77065,-122.44252,Apartment,Entire home/apt,1,1,30,$140.00 ,94117
81158,37.78493,-122.44618,Condominium,Entire home/apt,1,1,30,$83.00 ,94115
81256,37.73152,-122.42547,House,Private room,1,1,30,$45.00 ,94112
83257,37.78528,-122.44358,House,Private room,1,1,1,$90.00 ,94115
83553,37.77483,-122.50952,Apartment,Entire home/apt,1,0,30,$85.00 ,94122
84777,37.75969,-122.44445,Guest suite,Entire home/apt,1,1,5,$85.00 ,94114
87640,37.7455,-122.42898,Guest suite,Private room,1,1,2,$115.00 ,94110
91957,37.76194,-122.44929,Apartment,Entire home/apt,1.5,2,30,$201.00 ,94114
96383,37.79176,-122.42476,Apartment,Private room,0,1,30,$59.00 ,94109
99094,37.76809,-122.42439,Apartment,Entire home/apt,1,2,4,$185.00 ,94102
100710,37.75629,-122.42518,Apartment,Entire home/apt,2,3,4,$450.00 ,94110
102951,37.79297,-122.40664,House,Shared room,2.5,1,30,$30.00 ,94108
105497,37.75754,-122.49852,House,Private room,1,1,45,$85.00 ,94122
106025,37.78535,-122.41515,Apartment,Entire home/apt,2,2,30,$130.00 ,94109
109883,37.73327,-122.46435,Guest suite,Entire home/apt,1,2,2,$125.00 ,94127
110825,37.71549,-122.38922,House,Entire home/apt,1,2,30,$120.00 ,94124
113211,37.79294,-122.40659,House,Shared room,2.5,1,30,$30.00 ,94108
114401,37.76102,-122.43005,Condominium,Private room,1,1,1,$125.00 ,94114
115242,37.80591,-122.4083,Condominium,Entire home/apt,1,1,30,$125.00 ,94111
121065,37.77083,-122.43109,Apartment,Entire home/apt,1,1,30,$200.00 ,94117
126046,37.76813,-122.44494,Apartment,Entire home/apt,1,3,30,$150.00 ,94117
128230,37.75887,-122.43565,Apartment,Entire home/apt,1,1,3,$328.00 ,94114
130775,37.76609,-122.45126,Apartment,Private room,4,1,32,$65.00 ,94117
130805,37.75586,-122.42092,Apartment,Entire home/apt,1,1,30,$97.00 ,94110
132441,37.73974,-122.42299,House,Private room,1,1,1,$69.00 ,94110
134015,37.80356,-122.42589,Condominium,Entire home/apt,1,2,4,$300.00 ,94123
134193,37.7806,-122.47597,House,Entire home/apt,1.5,3,4,$550.00 ,94118
